Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
ASH5937,CRJ9,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",2017-02-11 11:44:00,2017-02-11 13:53:00,1:09
SKW5448,CRJ7,KSFO,San Francisco Int'l,"San Francisco, CA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 11:52:00,2017-02-11 14:45:00,1:53
N7873N,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",L 35.00972 -106.64250,"Albuquerque, NM","Albuquerque, NM",2017-02-11 11:57:00,2017-02-11 14:04:00,2:07
SKW4462,CRJ7,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KSLC,Salt Lake City Intl,"Salt Lake City, UT",2017-02-11 12:03:00,2017-02-11 13:23:00,1:20
ASA794,B737,KSEA,Seattle-Tacoma Intl,"Seattle, WA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 12:06:00,2017-02-11 15:28:00,2:22
GJS4524,CRJ7,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KORD,Chicago O'Hare Intl,"Chicago, IL",2017-02-11 12:11:00,2017-02-11 15:16:00,2:05
AMF1747,BE99,KGUP,Gallup Muni,"Gallup, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 12:15:00,2017-02-11 12:44:00,0:29
N80866,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",L 35.01028 -106.64500,"Albuquerque, NM","Albuquerque, NM",2017-02-11 12:19:00,2017-02-11 12:48:00,0:29
SWA1297,B737,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-11 12:35:00,2017-02-11 13:30:00,0:55
SWA2376,B737,KDAL,Dallas Love Fld,"Dallas, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 12:35:00,2017-02-11 13:01:00,1:26
ASH5752,CRJ9,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-11 12:37:00,2017-02-11 13:36:00,0:59
