Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
BLK102,GLF5,KSNA,John Wayne,"Santa Ana, CA",KGRR,Gerald R Ford Intl,"Grand Rapids, MI",2017-02-09 16:44:00,2017-02-09 23:08:00,3:24
ASA507,B738,KSNA,John Wayne,"Santa Ana, CA",KSEA,Seattle-Tacoma Intl,"Seattle, WA",2017-02-09 16:45:00,2017-02-09 18:56:00,2:11
QXE2700,DH8D,KSNA,John Wayne,"Santa Ana, CA",KRNO,Reno/Tahoe Intl,"Reno, NV",2017-02-09 16:47:00,2017-02-09 18:08:00,1:21
DAL262,B712,KSNA,John Wayne,"Santa Ana, CA",KSLC,Salt Lake City Intl,"Salt Lake City, UT",2017-02-09 16:52:00,2017-02-09 19:26:00,1:34
WCC24,B350,KTUS,Tucson Intl,"Tucson, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 16:52:00,2017-02-09 17:21:00,1:29
N5917L,,KSNA,John Wayne,"Santa Ana, CA",KCNO,Chino,"Chino, CA",2017-02-09 16:57:00,2017-02-09 17:11:00,0:13
SWA1292,B737,KSNA,John Wayne,"Santa Ana, CA",KOAK,Metro Oakland Intl,"Oakland, CA",2017-02-09 16:57:00,2017-02-09 18:12:00,1:15
BLK58,BE9L,KSNA,John Wayne,"Santa Ana, CA",KBUR,Bob Hope,"Burbank, CA",2017-02-09 16:58:00,2017-02-09 17:18:00,0:20
SWA764,B737,MMPR,Lic. Gustavo Diaz Ordaz Int'l,"Puerto Vallarta, Jalisco",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:04:00,2017-02-09 17:45:00,2:40
SWA3248,B737,KSNA,John Wayne,"Santa Ana, CA",KSJC,San Jose Int'l,"San Jose, CA",2017-02-09 17:04:00,2017-02-09 18:00:00,0:56
ASA528,B738,KSEA,Seattle-Tacoma Intl,"Seattle, WA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:06:00,2017-02-09 19:48:00,2:42
UAL405,B738,KDEN,Denver Intl,"Denver, CO",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:06:00,2017-02-09 18:09:00,2:03
N21567,P28B,KSNA,John Wayne,"Santa Ana, CA",KWJF,General Wm J Fox Airfield,"Lancaster, CA",2017-02-09 17:09:00,2017-02-09 17:57:00,0:47
DAL952,B712,KSLC,Salt Lake City Intl,"Salt Lake City, UT",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:11:00,2017-02-09 17:42:00,1:31
AAL2338,B738,KORD,Chicago O'Hare Intl,"Chicago, IL",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:12:00,2017-02-09 19:11:00,3:59
AAL2502,B738,KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:14:00,2017-02-09 18:05:00,2:51
EJA792,CL35,KSNA,John Wayne,"Santa Ana, CA",KTEB,Teterboro,"Teterboro, NJ",2017-02-09 17:15:00,2017-02-10 00:44:00,4:29
FFT265,A319,KDEN,Denver Intl,"Denver, CO",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:15:00,2017-02-09 18:20:00,2:05
BLK96,J328,KSAN,San Diego Intl,"San Diego, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:16:00,2017-02-09 17:37:00,0:21
DAL2459,B752,KATL,Hartsfield-Jackson Intl,"Atlanta, GA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:17:00,2017-02-09 18:30:00,4:13
UAL501,B738,KSNA,John Wayne,"Santa Ana, CA",KSFO,San Francisco Int'l,"San Francisco, CA",2017-02-09 17:21:00,2017-02-09 18:19:00,0:58
BLK66,GLF3,KSNA,John Wayne,"Santa Ana, CA",L 34.25000 -118.50000,"Van Nuys, CA","Van Nuys, CA",2017-02-09 17:27:00,,n/a
UPS9806,B752,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:27:00,2017-02-09 17:18:00,0:51
BLK101,PRM1,KSDM,Brown Fld Muni,"San Diego, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:31:00,2017-02-09 18:35:00,1:03
SWA4631,B737,KOAK,Metro Oakland Intl,"Oakland, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:31:00,2017-02-09 18:36:00,1:05
FDX389,A306,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:35:00,2017-02-09 17:39:00,1:04
SWA1693,B737,KLAS,Harry Reid Intl,"Las Vegas, NV",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:41:00,2017-02-09 18:22:00,0:41
N817BT,C25C,KSNA,John Wayne,"Santa Ana, CA",KCHD,Chandler Muni,"Chandler, AZ",2017-02-09 17:43:00,2017-02-09 19:35:00,0:52
BLK109,GLEX ,KLAS,Harry Reid Intl,"Las Vegas, NV",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:44:00,2017-02-09 18:24:00,0:40
AAL2572,B738,KSNA,John Wayne,"Santa Ana, CA",KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",2017-02-09 17:46:00,2017-02-09 22:09:00,2:23
EDG9,GLF4,KSDM,Brown Fld Muni,"San Diego, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:47:00,2017-02-09 18:12:00,0:25
SWA661,B737,KSMF,Sacramento Intl,"Sacramento, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:50:00,2017-02-09 19:02:00,1:11
N99SD,BE35,KCNO,Chino,"Chino, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 17:51:00,2017-02-09 18:00:00,0:09
ASA215,B738,KSNA,John Wayne,"Santa Ana, CA",KSEA,Seattle-Tacoma Intl,"Seattle, WA",2017-02-09 17:52:00,2017-02-09 20:04:00,2:12
